"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 26 20:21:46 GMT 2026","Tue May 26 20:21:47 GMT 2026","667","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [2] MENTOR",""
"passed","Tue May 26 20:21:50 GMT 2026","Tue May 26 20:21:51 GMT 2026","509","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create student user",""
"passed","Tue May 26 20:21:43 GMT 2026","Tue May 26 20:21:44 GMT 2026","1508","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user last name",""
"passed","Tue May 26 20:21:44 GMT 2026","Tue May 26 20:21:44 GMT 2026","215","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [2] MENTOR",""
"passed","Tue May 26 20:21:35 GMT 2026","Tue May 26 20:21:42 GMT 2026","6621","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","126","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email",""
"passed","Tue May 26 20:21:49 GMT 2026","Tue May 26 20:21:50 GMT 2026","1055","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create admin user",""
"passed","Tue May 26 20:21:43 GMT 2026","Tue May 26 20:21:44 GMT 2026","1394","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanCreateOffer","Mentor can create offer",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","44","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without first name",""
"passed","Tue May 26 20:21:41 GMT 2026","Tue May 26 20:21:42 GMT 2026","813","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [2] ADMIN",""
"passed","Tue May 26 20:21:47 GMT 2026","Tue May 26 20:21:47 GMT 2026","633","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [2] MENTOR",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","410","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithDuplicateEmail","Guest cannot register with duplicate email",""
"passed","Tue May 26 20:21:48 GMT 2026","Tue May 26 20:21:50 GMT 2026","2778","","ui.LoginUITests","","ui.LoginUITests","loggedInUserNameIsShownInHeader","Logged in user name is shown in header",""
"passed","Tue May 26 20:21:47 GMT 2026","Tue May 26 20:21:48 GMT 2026","737","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [1] STUDENT",""
"passed","Tue May 26 20:21:44 GMT 2026","Tue May 26 20:21:47 GMT 2026","2649","","ui.LoginUITests","","ui.LoginUITests","studentCanLoginFromUi","Student can login from UI",""
"passed","Tue May 26 20:21:48 GMT 2026","Tue May 26 20:21:49 GMT 2026","1259","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUserByPublicId","Admin can get user by public id",""
"passed","Tue May 26 20:21:47 GMT 2026","Tue May 26 20:21:49 GMT 2026","1306","","users.UserCreationTests","","users.UserCreationTests","adminCannotCreateUserWithDuplicateEmail","Admin cannot create user with duplicate email",""
"passed","Tue May 26 20:21:42 GMT 2026","Tue May 26 20:21:43 GMT 2026","619","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithExpiredToken","User cannot create offer with expired token",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","92","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without email",""
"passed","Tue May 26 20:21:44 GMT 2026","Tue May 26 20:21:45 GMT 2026","1319","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user status",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","55","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without last name",""
"passed","Tue May 26 20:21:50 GMT 2026","Tue May 26 20:21:51 GMT 2026","841","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [1] STUDENT",""
"passed","Tue May 26 20:21:44 GMT 2026","Tue May 26 20:21:45 GMT 2026","74","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithMultipleRoles","Guest cannot register with multiple roles",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","74","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
"passed","Tue May 26 20:21:46 GMT 2026","Tue May 26 20:21:46 GMT 2026","289","","register.RegisterTests","","register.RegisterTests","guestCanRegisterWithNormalizedEmail","Guest can register with normalized email",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:46 GMT 2026","84","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without password",""
"passed","Tue May 26 20:21:47 GMT 2026","Tue May 26 20:21:48 GMT 2026","1505","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user roles",""
"passed","Tue May 26 20:21:46 GMT 2026","Tue May 26 20:21:46 GMT 2026","355","","login.LoginTests","","login.LoginTests","guestCannotLoginWithEmailHavingLeadingOrTrailingSpaces","Guest cannot login with email having leading or trailing spaces",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:47 GMT 2026","1404","","users.UserAccessTests","","users.UserAccessTests","adminCanSeeInactiveUserInUsersList","Admin can see inactive user in users list",""
"passed","Tue May 26 20:21:44 GMT 2026","Tue May 26 20:21:45 GMT 2026","1045","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanRetryCreateOfferWithSameIdempotencyKey","Mentor can safely retry offer creation with idempotency key",""
"passed","Tue May 26 20:21:46 GMT 2026","Tue May 26 20:21:48 GMT 2026","1375","","users.UserEditTests","","users.UserEditTests","adminCannotUpdateUserWithDuplicateEmail","Admin cannot update user with duplicate email",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","60","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithMalformedToken","User cannot create offer with malformed token",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","66","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without password",""
"passed","Tue May 26 20:21:50 GMT 2026","Tue May 26 20:21:51 GMT 2026","898","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create mentor user",""
"passed","Tue May 26 20:21:41 GMT 2026","Tue May 26 20:21:41 GMT 2026","729","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [1] STUDENT",""
"passed","Tue May 26 20:21:47 GMT 2026","Tue May 26 20:21:50 GMT 2026","3229","","ui.LoginUITests","","ui.LoginUITests","guestSeesLoginErrorForWrongPassword","Guest sees login error for wrong password",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:46 GMT 2026","514","","login.LoginTests","","login.LoginTests","guestCanLoginAfterSuccessfulRegistration","Guest can login after successful registration",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","73","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without roles",""
"passed","Tue May 26 20:21:45 GMT 2026","Tue May 26 20:21:45 GMT 2026","339","","login.LoginTests","","login.LoginTests","guestCannotLoginWithUnknownEmail","Guest cannot login with unknown email",""
