"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 26 20:25:15 GMT 2026","Tue May 26 20:25:15 GMT 2026","60","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without password",""
"passed","Tue May 26 20:25:15 GMT 2026","Tue May 26 20:25:15 GMT 2026","46","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
"passed","Tue May 26 20:25:13 GMT 2026","Tue May 26 20:25:14 GMT 2026","1543","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user last name",""
"passed","Tue May 26 20:25:15 GMT 2026","Tue May 26 20:25:15 GMT 2026","148","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email",""
"passed","Tue May 26 20:25:15 GMT 2026","Tue May 26 20:25:16 GMT 2026","970","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanRetryCreateOfferWithSameIdempotencyKey","Mentor can safely retry offer creation with idempotency key",""
"passed","Tue May 26 20:25:15 GMT 2026","Tue May 26 20:25:15 GMT 2026","22","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterAdminUser","Guest cannot register admin user",""
"passed","Tue May 26 20:25:12 GMT 2026","Tue May 26 20:25:12 GMT 2026","889","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [2] ADMIN",""
"passed","Tue May 26 20:25:15 GMT 2026","Tue May 26 20:25:15 GMT 2026","328","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithDuplicateEmail","Guest cannot register with duplicate email",""
"passed","Tue May 26 20:25:21 GMT 2026","Tue May 26 20:25:22 GMT 2026","958","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [1] STUDENT",""
"passed","Tue May 26 20:25:15 GMT 2026","Tue May 26 20:25:16 GMT 2026","81","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without last name",""
"passed","Tue May 26 20:25:17 GMT 2026","Tue May 26 20:25:18 GMT 2026","764","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [2] MENTOR",""
"passed","Tue May 26 20:25:19 GMT 2026","Tue May 26 20:25:20 GMT 2026","1473","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUserByPublicId","Admin can get user by public id",""
"passed","Tue May 26 20:25:16 GMT 2026","Tue May 26 20:25:16 GMT 2026","79","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without password",""
"passed","Tue May 26 20:25:04 GMT 2026","Tue May 26 20:25:13 GMT 2026","9655","","login.LoginTests","","login.LoginTests","guestCanLoginWithNormalizedEmail","Guest can login with normalized email",""
"passed","Tue May 26 20:25:15 GMT 2026","Tue May 26 20:25:15 GMT 2026","295","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [2] MENTOR",""
"passed","Tue May 26 20:25:13 GMT 2026","Tue May 26 20:25:13 GMT 2026","628","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithExpiredToken","User cannot create offer with expired token",""
"passed","Tue May 26 20:25:16 GMT 2026","Tue May 26 20:25:17 GMT 2026","1469","","users.UserAccessTests","","users.UserAccessTests","adminCanSeeInactiveUserInUsersList","Admin can see inactive user in users list",""
"passed","Tue May 26 20:25:04 GMT 2026","Tue May 26 20:25:11 GMT 2026","6840","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithInvalidTokenSignature","User cannot create offer with invalid token signature",""
"passed","Tue May 26 20:25:14 GMT 2026","Tue May 26 20:25:16 GMT 2026","1681","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user status",""
"passed","Tue May 26 20:25:18 GMT 2026","Tue May 26 20:25:19 GMT 2026","661","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [1] STUDENT",""
