"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 26 20:37:33 GMT 2026","Tue May 26 20:37:34 GMT 2026","1046","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [2] MENTOR",""
"passed","Tue May 26 20:37:29 GMT 2026","Tue May 26 20:37:31 GMT 2026","1463","","users.UserEditTests","","users.UserEditTests","adminCannotUpdateUserWithDuplicateEmail","Admin cannot update user with duplicate email",""
"passed","Tue May 26 20:37:24 GMT 2026","Tue May 26 20:37:24 GMT 2026","810","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [1] STUDENT",""
"passed","Tue May 26 20:37:27 GMT 2026","Tue May 26 20:37:30 GMT 2026","2650","","ui.LoginUITests","","ui.LoginUITests","studentCanLoginFromUi","Student can login from UI",""
"passed","Tue May 26 20:37:29 GMT 2026","Tue May 26 20:37:29 GMT 2026","36","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWhitespaceOnlyCredentials","Guest cannot login with whitespace only credentials",""
"passed","Tue May 26 20:37:28 GMT 2026","Tue May 26 20:37:28 GMT 2026","60","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterAdminUser","Guest cannot register admin user",""
"passed","Tue May 26 20:37:25 GMT 2026","Tue May 26 20:37:27 GMT 2026","1963","","ui.CatalogUITests","","ui.CatalogUITests","guestCanOpenCatalog","Guest can open catalog",""
"passed","Tue May 26 20:37:28 GMT 2026","Tue May 26 20:37:29 GMT 2026","574","","login.LoginTests","","login.LoginTests","guestCanLoginAfterSuccessfulRegistration","Guest can login after successful registration",""
"passed","Tue May 26 20:37:19 GMT 2026","Tue May 26 20:37:25 GMT 2026","6239","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Tue May 26 20:37:28 GMT 2026","Tue May 26 20:37:28 GMT 2026","68","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
