"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 31 08:55:12 GMT 2026","Sun May 31 08:55:12 GMT 2026","511","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWrongPassword","Guest cannot login with wrong password",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","69","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without password",""
"passed","Sun May 31 08:55:11 GMT 2026","Sun May 31 08:55:11 GMT 2026","747","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [2] ADMIN",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:16 GMT 2026","2778","","ui.LoginUITests","","ui.LoginUITests","studentCanLoginFromUi","Student can login from UI",""
"passed","Sun May 31 08:55:10 GMT 2026","Sun May 31 08:55:11 GMT 2026","795","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [1] STUDENT",""
"passed","Sun May 31 08:55:19 GMT 2026","Sun May 31 08:55:20 GMT 2026","1098","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUsersList","Admin can get users list",""
"passed","Sun May 31 08:55:15 GMT 2026","Sun May 31 08:55:16 GMT 2026","838","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [2] MENTOR",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","294","","login.LoginTests","","login.LoginTests","guestCannotLoginWithUnknownEmail","Guest cannot login with unknown email",""
"passed","Sun May 31 08:55:13 GMT 2026","Sun May 31 08:55:13 GMT 2026","101","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterAdminUser","Guest cannot register admin user",""
"passed","Sun May 31 08:55:20 GMT 2026","Sun May 31 08:55:21 GMT 2026","814","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [1] STUDENT",""
"passed","Sun May 31 08:55:13 GMT 2026","Sun May 31 08:55:15 GMT 2026","1490","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user email",""
"passed","Sun May 31 08:55:03 GMT 2026","Sun May 31 08:55:10 GMT 2026","6910","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithInvalidTokenSignature","User cannot create offer with invalid token signature",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","69","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without email",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","43","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without roles",""
"passed","Sun May 31 08:55:12 GMT 2026","Sun May 31 08:55:14 GMT 2026","1631","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanCreateOffer","Mentor can create offer",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","83","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without password",""
"passed","Sun May 31 08:55:15 GMT 2026","Sun May 31 08:55:17 GMT 2026","1645","","users.UserEditTests","","users.UserEditTests","adminCannotUpdateUserWithDuplicateEmail","Admin cannot update user with duplicate email",""
"passed","Sun May 31 08:55:03 GMT 2026","Sun May 31 08:55:13 GMT 2026","10155","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [1] STUDENT",""
"passed","Sun May 31 08:55:12 GMT 2026","Sun May 31 08:55:12 GMT 2026","741","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithExpiredToken","User cannot create offer with expired token",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:15 GMT 2026","547","","login.LoginTests","","login.LoginTests","guestCanLoginAfterSuccessfulRegistration","Guest can login after successful registration",""
"passed","Sun May 31 08:55:16 GMT 2026","Sun May 31 08:55:17 GMT 2026","674","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [1] STUDENT",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","398","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithDuplicateEmail","Guest cannot register with duplicate email",""
"passed","Sun May 31 08:55:13 GMT 2026","Sun May 31 08:55:13 GMT 2026","344","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [2] MENTOR",""
"passed","Sun May 31 08:55:15 GMT 2026","Sun May 31 08:55:16 GMT 2026","1871","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user roles",""
"passed","Sun May 31 08:55:13 GMT 2026","Sun May 31 08:55:13 GMT 2026","90","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithMultipleRoles","Guest cannot register with multiple roles",""
"passed","Sun May 31 08:55:16 GMT 2026","Sun May 31 08:55:17 GMT 2026","676","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [2] MENTOR",""
"passed","Sun May 31 08:55:19 GMT 2026","Sun May 31 08:55:20 GMT 2026","929","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create mentor user",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","130","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email",""
"passed","Sun May 31 08:55:18 GMT 2026","Sun May 31 08:55:19 GMT 2026","1161","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create student user",""
"passed","Sun May 31 08:55:12 GMT 2026","Sun May 31 08:55:14 GMT 2026","1977","","ui.CatalogUITests","","ui.CatalogUITests","guestCanOpenCatalog","Guest can open catalog",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","67","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without first name",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","47","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email and password",""
"passed","Sun May 31 08:55:17 GMT 2026","Sun May 31 08:55:20 GMT 2026","2822","","ui.LoginUITests","","ui.LoginUITests","loggedInUserNameIsShownInHeader","Logged in user name is shown in header",""
"passed","Sun May 31 08:55:15 GMT 2026","Sun May 31 08:55:15 GMT 2026","72","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWhitespaceOnlyCredentials","Guest cannot login with whitespace only credentials",""
"passed","Sun May 31 08:55:18 GMT 2026","Sun May 31 08:55:19 GMT 2026","1326","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create admin user",""
"passed","Sun May 31 08:55:16 GMT 2026","Sun May 31 08:55:20 GMT 2026","3270","","ui.LoginUITests","","ui.LoginUITests","guestSeesLoginErrorForWrongPassword","Guest sees login error for wrong password",""
"passed","Sun May 31 08:55:11 GMT 2026","Sun May 31 08:55:12 GMT 2026","40","","offer.OfferCreationTests","","offer.OfferCreationTests","guestCannotCreateOfferWithoutToken","Guest cannot create offer without token",""
"passed","Sun May 31 08:55:12 GMT 2026","Sun May 31 08:55:14 GMT 2026","1107","","login.LoginTests","","login.LoginTests","inactiveUserCannotLogin","Inactive user cannot login",""
"passed","Sun May 31 08:55:03 GMT 2026","Sun May 31 08:55:12 GMT 2026","9192","","login.LoginTests","","login.LoginTests","guestCanLoginWithNormalizedEmail","Guest can login with normalized email",""
"passed","Sun May 31 08:55:19 GMT 2026","Sun May 31 08:55:20 GMT 2026","841","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [2] MENTOR",""
"passed","Sun May 31 08:55:16 GMT 2026","Sun May 31 08:55:18 GMT 2026","1536","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user status",""
"passed","Sun May 31 08:55:13 GMT 2026","Sun May 31 08:55:14 GMT 2026","67","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:14 GMT 2026","59","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without last name",""
"passed","Sun May 31 08:55:17 GMT 2026","Sun May 31 08:55:18 GMT 2026","1182","","users.UserCreationTests","","users.UserCreationTests","adminCannotCreateUserWithDuplicateEmail","Admin cannot create user with duplicate email",""
"passed","Sun May 31 08:55:15 GMT 2026","Sun May 31 08:55:16 GMT 2026","1567","","users.UserAccessTests","","users.UserAccessTests","adminCanSeeInactiveUserInUsersList","Admin can see inactive user in users list",""
"passed","Sun May 31 08:55:18 GMT 2026","Sun May 31 08:55:19 GMT 2026","1611","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUserByPublicId","Admin can get user by public id",""
"passed","Sun May 31 08:55:12 GMT 2026","Sun May 31 08:55:13 GMT 2026","1533","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user last name",""
"passed","Sun May 31 08:55:05 GMT 2026","Sun May 31 08:55:12 GMT 2026","6601","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:15 GMT 2026","1092","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanRetryCreateOfferWithSameIdempotencyKey","Mentor can safely retry offer creation with idempotency key",""
"passed","Sun May 31 08:55:03 GMT 2026","Sun May 31 08:55:12 GMT 2026","8804","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user first name",""
"passed","Sun May 31 08:55:15 GMT 2026","Sun May 31 08:55:15 GMT 2026","46","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithMalformedToken","User cannot create offer with malformed token",""
"passed","Sun May 31 08:55:17 GMT 2026","Sun May 31 08:55:18 GMT 2026","793","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [1] STUDENT",""
"passed","Sun May 31 08:55:14 GMT 2026","Sun May 31 08:55:15 GMT 2026","293","","register.RegisterTests","","register.RegisterTests","guestCanRegisterWithNormalizedEmail","Guest can register with normalized email",""
"passed","Sun May 31 08:55:15 GMT 2026","Sun May 31 08:55:15 GMT 2026","406","","login.LoginTests","","login.LoginTests","guestCannotLoginWithEmailHavingLeadingOrTrailingSpaces","Guest cannot login with email having leading or trailing spaces",""
