"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 12 10:03:39 GMT 2026","Fri Jun 12 10:03:40 GMT 2026","652","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWrongPassword","Guest cannot login with wrong password",""
"passed","Fri Jun 12 10:03:43 GMT 2026","Fri Jun 12 10:03:44 GMT 2026","836","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [2] MENTOR",""
"passed","Fri Jun 12 10:03:39 GMT 2026","Fri Jun 12 10:03:40 GMT 2026","1564","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user last name",""
"passed","Fri Jun 12 10:03:41 GMT 2026","Fri Jun 12 10:03:42 GMT 2026","340","","register.RegisterTests","","register.RegisterTests","guestCanRegisterWithNormalizedEmail","Guest can register with normalized email",""
"passed","Fri Jun 12 10:03:44 GMT 2026","Fri Jun 12 10:03:45 GMT 2026","678","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [1] STUDENT",""
"passed","Fri Jun 12 10:03:39 GMT 2026","Fri Jun 12 10:03:40 GMT 2026","1256","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanCreateOffer","Mentor can create offer",""
"passed","Fri Jun 12 10:03:33 GMT 2026","Fri Jun 12 10:03:40 GMT 2026","6418","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [1] STUDENT",""
"passed","Fri Jun 12 10:03:41 GMT 2026","Fri Jun 12 10:03:41 GMT 2026","81","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without password",""
"passed","Fri Jun 12 10:03:31 GMT 2026","Fri Jun 12 10:03:39 GMT 2026","7974","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user first name",""
"passed","Fri Jun 12 10:03:41 GMT 2026","Fri Jun 12 10:03:42 GMT 2026","63","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithMalformedToken","User cannot create offer with malformed token",""
"passed","Fri Jun 12 10:03:40 GMT 2026","Fri Jun 12 10:03:40 GMT 2026","47","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithMultipleRoles","Guest cannot register with multiple roles",""
"passed","Fri Jun 12 10:03:42 GMT 2026","Fri Jun 12 10:03:43 GMT 2026","1343","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user status",""
"passed","Fri Jun 12 10:03:47 GMT 2026","Fri Jun 12 10:03:48 GMT 2026","1459","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUsersList","Admin can get users list",""
"passed","Fri Jun 12 10:03:47 GMT 2026","Fri Jun 12 10:03:48 GMT 2026","809","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create mentor user",""
"passed","Fri Jun 12 10:03:40 GMT 2026","Fri Jun 12 10:03:41 GMT 2026","1156","","login.LoginTests","","login.LoginTests","inactiveUserCannotLogin","Inactive user cannot login",""
"passed","Fri Jun 12 10:03:38 GMT 2026","Fri Jun 12 10:03:38 GMT 2026","42","","offer.OfferCreationTests","","offer.OfferCreationTests","guestCannotCreateOfferWithoutToken","Guest cannot create offer without token",""
"passed","Fri Jun 12 10:03:42 GMT 2026","Fri Jun 12 10:03:43 GMT 2026","1492","","users.UserAccessTests","","users.UserAccessTests","adminCanSeeInactiveUserInUsersList","Admin can see inactive user in users list",""
"passed","Fri Jun 12 10:03:38 GMT 2026","Fri Jun 12 10:03:45 GMT 2026","6712","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Fri Jun 12 10:03:42 GMT 2026","Fri Jun 12 10:03:45 GMT 2026","3076","","ui.LoginUITests","","ui.LoginUITests","studentCanLoginFromUi","Student can login from UI",""
"passed","Fri Jun 12 10:03:46 GMT 2026","Fri Jun 12 10:03:47 GMT 2026","1280","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [2] MENTOR",""
"passed","Fri Jun 12 10:03:43 GMT 2026","Fri Jun 12 10:03:44 GMT 2026","944","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [2] MENTOR",""
"passed","Fri Jun 12 10:03:31 GMT 2026","Fri Jun 12 10:03:37 GMT 2026","6155","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithInvalidTokenSignature","User cannot create offer with invalid token signature",""
"passed","Fri Jun 12 10:03:41 GMT 2026","Fri Jun 12 10:03:41 GMT 2026","39","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without email",""
"passed","Fri Jun 12 10:03:41 GMT 2026","Fri Jun 12 10:03:41 GMT 2026","126","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without roles",""
"passed","Fri Jun 12 10:03:31 GMT 2026","Fri Jun 12 10:03:38 GMT 2026","7254","","framework.RestAssuredConnectorServerErrorTests","","framework.RestAssuredConnectorServerErrorTests","connectorRetriesAndReturnsServerError","Connector retries and returns server error",""
"passed","Fri Jun 12 10:03:41 GMT 2026","Fri Jun 12 10:03:41 GMT 2026","172","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without last name",""
"passed","Fri Jun 12 10:03:40 GMT 2026","Fri Jun 12 10:03:41 GMT 2026","474","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithDuplicateEmail","Guest cannot register with duplicate email",""
"passed","Fri Jun 12 10:03:42 GMT 2026","Fri Jun 12 10:03:42 GMT 2026","53","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWhitespaceOnlyCredentials","Guest cannot login with whitespace only credentials",""
"passed","Fri Jun 12 10:03:45 GMT 2026","Fri Jun 12 10:03:46 GMT 2026","1609","","users.UserCreationTests","","users.UserCreationTests","adminCannotCreateUserWithDuplicateEmail","Admin cannot create user with duplicate email",""
"passed","Fri Jun 12 10:03:40 GMT 2026","Fri Jun 12 10:03:42 GMT 2026","1954","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user email",""
"passed","Fri Jun 12 10:03:41 GMT 2026","Fri Jun 12 10:03:41 GMT 2026","81","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without first name",""
"passed","Fri Jun 12 10:03:40 GMT 2026","Fri Jun 12 10:03:40 GMT 2026","339","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [2] MENTOR",""
"passed","Fri Jun 12 10:03:40 GMT 2026","Fri Jun 12 10:03:41 GMT 2026","1102","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanRetryCreateOfferWithSameIdempotencyKey","Mentor can safely retry offer creation with idempotency key",""
"passed","Fri Jun 12 10:03:40 GMT 2026","Fri Jun 12 10:03:40 GMT 2026","50","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
"passed","Fri Jun 12 10:03:43 GMT 2026","Fri Jun 12 10:03:45 GMT 2026","1688","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user roles",""
