"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 21 06:55:44 GMT 2026","Fri Aug 21 06:55:46 GMT 2026","1439","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create admin user",""
"passed","Fri Aug 21 06:55:46 GMT 2026","Fri Aug 21 06:55:47 GMT 2026","959","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [1] STUDENT",""
"passed","Fri Aug 21 06:55:40 GMT 2026","Fri Aug 21 06:55:40 GMT 2026","657","","login.LoginTests","","login.LoginTests","guestCanLoginAfterSuccessfulRegistration","Guest can login after successful registration",""
"passed","Fri Aug 21 06:55:36 GMT 2026","Fri Aug 21 06:55:37 GMT 2026","663","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithExpiredToken","User cannot create offer with expired token",""
"passed","Fri Aug 21 06:55:43 GMT 2026","Fri Aug 21 06:55:45 GMT 2026","1486","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUserByPublicId","Admin can get user by public id",""
"passed","Fri Aug 21 06:55:40 GMT 2026","Fri Aug 21 06:55:40 GMT 2026","57","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without roles",""
"passed","Fri Aug 21 06:55:39 GMT 2026","Fri Aug 21 06:55:39 GMT 2026","77","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterAdminUser","Guest cannot register admin user",""
"passed","Fri Aug 21 06:55:44 GMT 2026","Fri Aug 21 06:55:45 GMT 2026","1732","","users.UserEditTests","","users.UserEditTests","adminCannotUpdateUserWithDuplicateEmail","Admin cannot update user with duplicate email",""
"passed","Fri Aug 21 06:55:39 GMT 2026","Fri Aug 21 06:55:39 GMT 2026","91","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email and password",""
"passed","Fri Aug 21 06:55:28 GMT 2026","Fri Aug 21 06:55:35 GMT 2026","6476","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithInvalidTokenSignature","User cannot create offer with invalid token signature",""
"passed","Fri Aug 21 06:55:39 GMT 2026","Fri Aug 21 06:55:39 GMT 2026","529","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithDuplicateEmail","Guest cannot register with duplicate email",""
"passed","Fri Aug 21 06:55:31 GMT 2026","Fri Aug 21 06:55:38 GMT 2026","7086","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [1] STUDENT",""
"passed","Fri Aug 21 06:55:36 GMT 2026","Fri Aug 21 06:55:36 GMT 2026","28","","offer.OfferCreationTests","","offer.OfferCreationTests","guestCannotCreateOfferWithoutToken","Guest cannot create offer without token",""
"passed","Fri Aug 21 06:55:36 GMT 2026","Fri Aug 21 06:55:43 GMT 2026","7044","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Fri Aug 21 06:55:40 GMT 2026","Fri Aug 21 06:55:40 GMT 2026","67","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without first name",""
"passed","Fri Aug 21 06:55:42 GMT 2026","Fri Aug 21 06:55:44 GMT 2026","1585","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user roles",""
"passed","Fri Aug 21 06:55:28 GMT 2026","Fri Aug 21 06:55:37 GMT 2026","8955","","login.LoginTests","","login.LoginTests","guestCanLoginWithNormalizedEmail","Guest can login with normalized email",""
"passed","Fri Aug 21 06:55:40 GMT 2026","Fri Aug 21 06:55:42 GMT 2026","1725","","users.UserAccessTests","","users.UserAccessTests","adminCanSeeInactiveUserInUsersList","Admin can see inactive user in users list",""
"passed","Fri Aug 21 06:55:40 GMT 2026","Fri Aug 21 06:55:41 GMT 2026","84","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWhitespaceOnlyCredentials","Guest cannot login with whitespace only credentials",""
"passed","Fri Aug 21 06:55:37 GMT 2026","Fri Aug 21 06:55:38 GMT 2026","1293","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanCreateOffer","Mentor can create offer",""
"passed","Fri Aug 21 06:55:40 GMT 2026","Fri Aug 21 06:55:40 GMT 2026","273","","register.RegisterTests","","register.RegisterTests","guestCanRegisterWithNormalizedEmail","Guest can register with normalized email",""
"passed","Fri Aug 21 06:55:45 GMT 2026","Fri Aug 21 06:55:47 GMT 2026","1429","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUsersList","Admin can get users list",""
"passed","Fri Aug 21 06:55:43 GMT 2026","Fri Aug 21 06:55:44 GMT 2026","1536","","users.UserCreationTests","","users.UserCreationTests","adminCannotCreateUserWithDuplicateEmail","Admin cannot create user with duplicate email",""
"passed","Fri Aug 21 06:55:39 GMT 2026","Fri Aug 21 06:55:39 GMT 2026","78","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
"passed","Fri Aug 21 06:55:40 GMT 2026","Fri Aug 21 06:55:43 GMT 2026","3383","","ui.LoginUITests","","ui.LoginUITests","studentCanLoginFromUi","Student can login from UI",""
